artist_id,artist_name,artist_subname,artist_id_melon,artist_id_genie,artist_id_youtubemusic,artist_id_spotify,artist_id_instagram,artist_id_youtube,artist_id_x
0,250,,640712,80323919,OLAK5uy_kukEq9JT_xhYk_WYmi0xhxX0RRg-ppyHo,0ePKWgwmESq5970Hq1c3yE?si=MpLFHImlQyuzOe0PdRMe2A,250official,,
1,갤럭시익스프레스,Galaxy Express,227741,48390361,OLAK5uy_n3iJYJaDsXPTELO_Dmi6K3DHqF5tI09vw,3HbmUr6CJxkk0YGkxeNpMp?si=WHRUwBUtSb2Fw8xI8bvBBg,galaxy_express_official,UCsilEpR2UHgFa-JV_q6CFHQ,GalaxyExpressKR
2,검엑스,GUMX,107122,14943061,OLAK5uy_mSewmIQ2iplIqmzsuRxAy9CZqQQke1v9M,4vFO3Z1XVJ3IOX4nQjPW62?si=1ZcDmV8TT5ager_XHTR2BQ,gumx_official,UC0j1cP2C30YFiI9OnjfCwIw,GUMXPUNK
3,검정치마,The Black Skirts,276166,70840417,OLAK5uy_mSiMQUlVC3P_dqjNXU6_ounevEBWULqos,6WeDO4GynFmK4OxwkBzMW8?si=y8YPEPnORjKiwAIEEOscPQ,holideez,UCMywBcgtpid_7bWQP-pEn2w,
4,구남과여라이딩스텔라,Goonam,230407,53422299,OLAK5uy_m8j6FDblVPkIwf9n23Muq6KcGBh0B-S7w,3DUz5LZtuWvUFgyRsgZNR7?si=e84d4ngMQPOMqreXL2nnIA,goonam_official,UC2uyDkfZOB1fcKSZ75LEMFg,goonamgua
5,권진아,Kwon Jin Ah,760046,80254546,OLAK5uy_kfgO_KuP5YWKeSxWuTTTDXVeZISkojcW4,0kRAVpQhUUArA8UnYwEdeZ?si=NpR2jhoDSZuKBZU3xHG1EA,kwonhodoo,UC5KDvE51c8EqBK8G3Lv-7-g,
6,극동아시아타이거즈,Far East Asian Tigers,2863270,80827891,OLAK5uy_lQ1gxXsBaFqVfL2qvGroafB7U-Rnrcz9M,6GUWxio3LfJjV8DyH6RXEM?si=siXe3m67QC-kqPDZuHCyzQ,far_east_asian_tigers,UCMbwvl6PdEqGmzUmGgKnuHg,f_e_asia_tigers
7,글렌체크,Glen Check,520620,80122254,OLAK5uy_k9yNpNesD6zHtt3BHJ24JkRaNoxNKX_O8,68ZtcdthScW8ISOvVNW9sV?si=E22C6wh2TseJSuoku-nOpg,bandglencheck,UCZsxMTnJzEjMBGhXVy23phg,bandglencheck
8,김늑,Kim Neuk,2642585,80713540,OLAK5uy_l1-qRVWUIgERRn5q9PNKww51JyWoX499s,6g3wwcrVl0v453lpIoYENy?si=H1etoovKRD66YYZgras2iQ,nknknknknkim,UCLXC5_z5ioxnWK1up9LS_Pg,
9,김뜻돌,Meaningful Stone,1816503,80585195,OLAK5uy_nggAiNXeq-YQYZzwyud6NUlKFzx-JK5RA,7EVlq3yUVHbHZZsaYSOcXt?si=auQfobr8TfqTWv7L1jd-rQ,meaningful_stone,UCIUbXhcpDmWajKpB7rOZcmg,
