artist_name,song_spotify,spotify_sream_cnt
250,뱅버스,238315
250,로얄 블루,256795
250,모든 것이 꿈이었네,204539
250,휘날레,117390
250,사랑이야기,126649
250,바라보고,73510
250,이창,121672
250,레드 글라스,74866
250,주세요,62111
250,...그리고 아무도 없었다,77977
갤럭시익스프레스,Turn It Up,390984
갤럭시익스프레스,Oh Yeah!,31628
갤럭시익스프레스,Jungle the Black,34850
갤럭시익스프레스,Ddddance,23659
갤럭시익스프레스,Youth Without Youth,4768
갤럭시익스프레스,I do not know why I am here,6316
갤럭시익스프레스,개구쟁이 Naughty Boy (산울림 Sanullim Tribute),12361
갤럭시익스프레스,진짜 너를 원해 Really Want You,8382
갤럭시익스프레스,다시 한 번 한 번 더 One More Time,20448
갤럭시익스프레스,호롱불 Oil Lamp,9139
검엑스,BUDS,73966
검엑스,THE SOUND OF OUR LOVE,44128
검엑스,KOMM SUSSER TOD,97551
검엑스,Punk Rock Bomb,9219
검엑스,GREEN FREAKZILLA? - WORST GREATEST HITS EVER! Version,34408
검엑스,FATHER AND ME,31417
검엑스,Steady But I'll Run,7617
검엑스,187 Street,8033
검엑스,You're Still The One,7391
검엑스,Last Promise,7521
검정치마,EVERYTHING,158893507
검정치마,Who Do You Love,17585134
검정치마,1:05,5353483
검정치마,Till The End of Time,9875969
검정치마,DREAM LIKE ME,7719251
검정치마,Hollywood,11324816
검정치마,Ling Ling,4067159
검정치마,Antifreeze,2163150
검정치마,Love Is All,2637562
검정치마,Heya,2687687
구남과여라이딩스텔라,젊은이 Young People,85244
구남과여라이딩스텔라,Donghae,21278
구남과여라이딩스텔라,Healthy and long life,17844
구남과여라이딩스텔라,Going South,11041
구남과여라이딩스텔라,Summer Night,15872
구남과여라이딩스텔라,Sundown,8497
구남과여라이딩스텔라,Misfire,5077
구남과여라이딩스텔라,My Twisted Life,5280
구남과여라이딩스텔라,우주로 가자 Let's Go into Space,8626
구남과여라이딩스텔라,Cold delusion,10067
권진아,"How you feelin' (From ""Love Scout"" : Original Soundtrack)",513754
권진아,Lonely Night,17174490
권진아,Something's Wrong,12373214
권진아,Wall,1251044
권진아,I got lucky,2980326
권진아,Consolation,4347637
권진아,The End,5255766
권진아,Excuse,73008
권진아,Tell me about your day,2286940
권진아,For Now,6462726
극동아시아타이거즈,Petrichor,9060
극동아시아타이거즈,Myunmok Middle School,8596
극동아시아타이거즈,What I Believed In,7874
극동아시아타이거즈,Hope It Rains Today,6302
극동아시아타이거즈,Till The End,6251
극동아시아타이거즈,"A Cat, a Cactus, and...",16477
극동아시아타이거즈,Mosquito,15856
극동아시아타이거즈,Alright,4201
극동아시아타이거즈,Hollow,4032
극동아시아타이거즈,Too Late,3343
글렌체크,Dazed & Confused,4381486
글렌체크,4ever,2076766
글렌체크,60’S CARDIN,1156660
글렌체크,Sins,1032354
글렌체크,Runaway,574975
글렌체크,"Dive Baby, Dive",809453
글렌체크,Waves,299623
글렌체크,Teenage Fantasy (Glen Check Remix),1443893
글렌체크,VIVID,236297
