artist_name,artist_id,song_spotify,spotify_sream_cnt
250,0,뱅버스,238453
250,0,로얄 블루,256944
250,0,모든 것이 꿈이었네,204642
250,0,휘날레,117460
250,0,사랑이야기,126730
250,0,바라보고,73573
250,0,이창,121762
250,0,레드 글라스,74920
250,0,주세요,62161
250,0,...그리고 아무도 없었다,78031
갤럭시익스프레스,1,Turn It Up,392443
갤럭시익스프레스,1,Oh Yeah!,31673
갤럭시익스프레스,1,Jungle the Black,34879
갤럭시익스프레스,1,Ddddance,23673
갤럭시익스프레스,1,Youth Without Youth,4785
갤럭시익스프레스,1,내가 왜 여기 있는지 몰라,6324
갤럭시익스프레스,1,개구쟁이 Naughty Boy (산울림 Sanullim Tribute),12368
갤럭시익스프레스,1,진짜 너를 원해 Really Want You,8391
갤럭시익스프레스,1,다시 한 번 한 번 더 One More Time,20462
갤럭시익스프레스,1,호롱불 Oil Lamp,9150
검엑스,2,BUDS,74039
검엑스,2,THE SOUND OF OUR LOVE,44214
검엑스,2,KOMM SUSSER TOD,97613
검엑스,2,Punk Rock Bomb,9272
검엑스,2,GREEN FREAKZILLA? - WORST GREATEST HITS EVER! Version,34459
검엑스,2,FATHER AND ME,31461
검엑스,2,Steady But I'll Run,7658
검엑스,2,187 Street,8069
검엑스,2,You're Still The One,7427
검엑스,2,Last Promise,7557
검정치마,3,EVERYTHING,158987082
검정치마,3,나랑 아니면,17596307
검정치마,3,한시 오분 (1:05),5361566
검정치마,3,"기다린 만큼, 더",9883698
검정치마,3,DREAM LIKE ME,7724046
검정치마,3,Hollywood,11329714
검정치마,3,Ling Ling,4071763
검정치마,3,Antifreeze,2167316
검정치마,3,Love Is All,2640286
검정치마,3,혜야,2690614
구남과여라이딩스텔라,4,젊은이 Young People,85320
구남과여라이딩스텔라,4,Donghae,21291
구남과여라이딩스텔라,4,건강하고 긴 삶,17857
구남과여라이딩스텔라,4,남쪽으로 간다,11047
구남과여라이딩스텔라,4,여름밤,15882
구남과여라이딩스텔라,4,Sundown,8501
구남과여라이딩스텔라,4,Misfire,5080
구남과여라이딩스텔라,4,My Twisted Life,5283
