artist_id,artist_id_spotify,artist_name,spotify_monthly_listener,spotify_follower_cnt,spotify_popularity
0,0ePKWgwmESq5970Hq1c3yE?si=MpLFHImlQyuzOe0PdRMe2A,250,7242,13540,20
1,3HbmUr6CJxkk0YGkxeNpMp?si=WHRUwBUtSb2Fw8xI8bvBBg,갤럭시익스프레스,2823,4211,23
2,4vFO3Z1XVJ3IOX4nQjPW62?si=1ZcDmV8TT5ager_XHTR2BQ,검엑스,4024,3080,20
3,6WeDO4GynFmK4OxwkBzMW8?si=y8YPEPnORjKiwAIEEOscPQ,검정치마,1429376,479460,57
4,3DUz5LZtuWvUFgyRsgZNR7?si=e84d4ngMQPOMqreXL2nnIA,구남과여라이딩스텔라,1932,2956,12
5,0kRAVpQhUUArA8UnYwEdeZ?si=NpR2jhoDSZuKBZU3xHG1EA,권진아,347966,161071,47
6,6GUWxio3LfJjV8DyH6RXEM?si=siXe3m67QC-kqPDZuHCyzQ,극동아시아타이거즈,1840,1448,16
7,68ZtcdthScW8ISOvVNW9sV?si=E22C6wh2TseJSuoku-nOpg,글렌체크,109409,42409,40
8,6g3wwcrVl0v453lpIoYENy?si=H1etoovKRD66YYZgras2iQ,김늑,649,191,5
9,7EVlq3yUVHbHZZsaYSOcXt?si=auQfobr8TfqTWv7L1jd-rQ,김뜻돌,139135,78661,42
10,5jiscb6yxuu9hj4BoW5Wea?si=q3vZjDiuT5mpwytZQ1eEEA,김윤아,51948,34106,42
