artist_id,artist_id_youtube,artist_name,youtube_follower_cnt,youtube_video_cnt,youtube_total_views
0,,250,,,
1,UCsilEpR2UHgFa-JV_q6CFHQ,갤럭시익스프레스,1750.0,54.0,655505.0
2,UC0j1cP2C30YFiI9OnjfCwIw,검엑스,833.0,67.0,74625.0
3,UCMywBcgtpid_7bWQP-pEn2w,검정치마,118000.0,12.0,10347727.0
4,UC2uyDkfZOB1fcKSZ75LEMFg,구남과여라이딩스텔라,2320.0,29.0,336937.0
5,UC5KDvE51c8EqBK8G3Lv-7-g,권진아,162000.0,72.0,9060240.0
6,UCMbwvl6PdEqGmzUmGgKnuHg,극동아시아타이거즈,1990.0,127.0,132611.0
7,UCZsxMTnJzEjMBGhXVy23phg,글렌체크,41200.0,61.0,5977091.0
8,UCLXC5_z5ioxnWK1up9LS_Pg,김늑,436.0,27.0,39609.0
9,UCIUbXhcpDmWajKpB7rOZcmg,김뜻돌,64000.0,70.0,4213042.0
10,UCGl6iy2e4F6cXR_nNV2kyTg,김윤아,13900.0,34.0,981690.0
11,,김일두,,,
12,UCoYsB0uSS4V8zwJ5w9wiXhw,김창완밴드,13900.0,32.0,571157.0
13,,까데호,,,
14,UCayEH46Rr_uucTJShN2hjaw,나상현씨밴드,23000.0,132.0,1591943.0
15,UCgI0yyuYZGo2iqlBk-Rn8YQ,너드커넥션,100000.0,0.0,0.0
16,,넉살,,,
17,UChIKGx60x4D5elEbb5Vjtow,넬,,0.0,0.0
18,UCGPvIaYhnCk5Ks9nqIJyGqg,노브레인,,0.0,0.0
19,UC2IVvNlTmswGGbzjPeqNjkg,놀이도감,,0.0,0.0
20,UCdFB3v5099dNtfFCdwxsq0g,뉴클리어 이디엇츠,,0.0,0.0
21,UCN7rlyHXH5PSmowf_ayIIHg,다브다,,0.0,0.0
22,UCoMOZkt2ASNX1hdnnYHh9Qg,다섯,5830.0,30.0,261575.0
23,UCurz-dBcU73e4e_EprVPPRw,다양성,13600.0,53.0,144027.0
24,UCQxLWrYo0oaYYeqgRNTM20w,다크 미러 오브 트레지디,4060.0,12.0,184665.0
25,UCVlcbGb0bA8Db7DAZVuIPJw,더 발룬티어스,104000.0,73.0,11686031.0
26,UCtF6viY58Tnt3L3Pw-cQHRA,더 보울스,4830.0,65.0,110784.0
27,UCdUqvGMzYNVoYC1Wjz8-a5w,더 폴스,28600.0,23.0,1198619.0
28,UC3R95aJVMErCj9bPfHTBPFQ,더 픽스,9220.0,73.0,401219.0
29,UCsh9SN6pOoTAx5-ZU0WcsIQ,데이먼스 이어,61900.0,6.0,2222090.0
30,UCp-pqXsizklX3ZHvLxXyhxw,데이식스,2200000.0,754.0,326524060.0
31,UCZ-TCOPrVoAQroP1i_F60UA,드링킹소년소녀합창단,1600.0,131.0,65995.0
32,UCA4QJNMg-dHwPXClmXCsqew,디폴트,189.0,0.0,0.0
33,UCPFSt6-yur8aB0o22j9Cu8Q,라쿠나,104000.0,203.0,2796082.0
34,UCxDdunlow36vxx3U4_vGhSg,로맨틱펀치,2480.0,148.0,320897.0
35,UCYVJcQTELkYJmUsHCskv94Q,리도어,12000.0,11.0,436105.0
36,UCT1QKCOno2O3nR6zisRO2uQ,리프,104.0,17.0,2765.0
37,,마이앤트메리,,,
38,UCzGeR7mUILJmjPQs4ofcvdQ,매미,242.0,88.0,62296.0
39,UCQ1dtO7vArX-XSfCuilRQeA,매써드,1950.0,155.0,197390.0
40,UCWq8gDnqYyOgBRgXLKVWt9Q,모스크바서핑클럽,661.0,46.0,27744.0
41,UCaYfhQKNRJCGILG41FZYWng,모허,152.0,16.0,4345.0
42,UCrWOGjW6CiQSf8YJuEq8WZg,미역수염,134.0,19.0,10705.0
43,UCbBzKnCYcG7E3EIkSTdsawA,바밍타이거,225000.0,184.0,52192551.0
44,UCVXT0yzoOzsRlM16yUaoEng,바비핀스,495.0,62.0,22586.0
45,,박소은,,,
46,,베이루트택시,,,
47,UCkAFS69ruryNZvUcGrASBOA,보수동쿨러,6020.0,43.0,170237.0
